Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
Mozartdenkmal,Kapuzinerberg 7 Salzburg,,https://www.bing.com/maps?cp=47.80210494995117%7E13.048529624938965&lvl=17.0&q=Mozartdenkmal%20%2C%20Kapuzinerberg%207%20Salzburg,47.80210494995117,13.048529624938965,https://www.stadt-salzburg.at/internet/wirtschaft_umwelt/natur/stadtberge/kapuzinerberg_370730/mozart_denkmal_414033.htm,,"ordnungsamt@stadt-salzburg.at,post@stadt-salzburg.at,kgaigen@stadt-salzburg.at,stadtarchivundstatistik@stadt-salzburg.at,abgabenbehoerde@stadt-salzburg.at,gemeinderatskanzlei@stadt-salzburg.at",,,,
Kapitelplatz & Kapitelschwemme,Kapitelplatz · 5020 Salzburg,https://www.bing.com/th?id=OLC.w+fOrf3Qbx5pQA480x360&pid=Local,https://www.bing.com/maps?cp=47.797401428222656%7E13.045869827270508&lvl=17.0&q=Kapitelplatz%20%26%20Kapitelschwemme%20%2C%20Kapitelplatz%20%C2%B7%205020%20Salzburg,47.797401428222656,13.045869827270508,https://www.salzburg.info/en/sights/squares-streets/kapitelplatz-kapitelschwemme,,"tourist@salzburg.info,presse@salzburg.info,marketing@salzburg.info,digital-media@salzburg.info,privacy@salzburg.info,cards@salzburg.info","{""facebook"":""https://www.facebook.com/policy.php"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://instagram.com/about/legal/privacy/"",""twitter"":""https://twitter.com/de/privacy"",""pinterest"":""https://policy.pinterest.com/en/privacy-policy""}",https://www.facebook.com/policy.php,https://instagram.com/about/legal/privacy/,https://twitter.com/de/privacy
Salzburg Museum,"Mozartplatz 1, Postfach 10 · 5020 Salzburg",https://www.bing.com/th?id=OLC.HMZj2dBodwZMQA480x360&pid=Local,https://www.bing.com/maps?cp=47.79873275756836%7E13.047554016113281&lvl=17.0&q=Salzburg%20Museum%20%2C%20Mozartplatz%201%2C%20Postfach%2010%20%C2%B7%205020%20Salzburg,47.79873275756836,13.047554016113281,http://salzburgmuseum.at/,0662 620808700,"info@salzburg.info,peter.husty@salzburgmuseum.at,eva.maria.feldinger@salzburgmuseum.at,office@salzburgmuseum.at,tourist@salzburg.info","{""facebook"":""https://www.facebook.com/salzburg.museum/"",""youtube"":""https://www.youtube.com/channel/ucgraq9jpozen5w1ran3t1xq"",""instagram"":""https://www.instagram.com/salzburg_museum/"",""twitter"":""https://twitter.com/salzburgmuseum""}",https://www.facebook.com/salzburg.museum/,https://www.instagram.com/salzburg_museum/,https://twitter.com/salzburgmuseum
Residenzgalerie Salzburg,Residenzplatz 1 · 5020 Salzburg,https://www.bing.com/th?id=OLC.O32qK7EgcapbJQ480x360&pid=Local,https://www.bing.com/maps?cp=47.79844284057617%7E13.045928955078125&lvl=17.0&q=Residenzgalerie%20Salzburg%20%2C%20Residenzplatz%201%20%C2%B7%205020%20Salzburg,47.79844284057617,13.045928955078125,https://www.domquartier.at/residenzgalerie/,0662 80422109,"office@domquartier.at,roswitha@juffinger.cc","{""youtube"":""https://www.youtube.com/channel/ucfwzng_llavdc7jtn6rwssw"",""facebook"":""https://www.facebook.com/domquartier/"",""instagram"":""https://www.instagram.com/domquartier/""}",https://www.facebook.com/domquartier/,https://www.instagram.com/domquartier/,
Mozart's Birthplace,Getreidegasse 9 · 5020 Salzburg,https://www.bing.com/th?id=OLC.7raKjMY0FErqhw480x360&pid=Local,https://www.bing.com/maps?cp=47.79998016357422%7E13.043534278869629&lvl=17.0&q=Mozart's%20Birthplace%20%2C%20Getreidegasse%209%20%C2%B7%205020%20Salzburg,47.79998016357422,13.043534278869629,https://mozarteum.at/mozart-museen/mozarts-geburtshaus,0662 844313,"75museum.service@mozarteum.at,pfadt@mozarteum.at,museum.service@mozarteum.at","{""facebook"":""https://www.facebook.com/stiftungmozarteum/"",""instagram"":""https://www.instagram.com/stiftungmozarteum/"",""youtube"":""https://www.youtube.com/user/stiftungmozarteum""}",https://www.facebook.com/stiftungmozarteum/,https://www.instagram.com/stiftungmozarteum/,
Salzburg Cathedral,Domplatz 1A · 5020 Salzburg,https://www.bing.com/th?id=OLC.qLeLbdSZExN18A480x360&pid=Local,https://www.bing.com/maps?cp=47.79790115356445%7E13.045971870422363&lvl=17.0&q=Salzburg%20Cathedral%20%2C%20Domplatz%201A%20%C2%B7%205020%20Salzburg,47.79790115356445,13.045971870422363,https://www.salzburger-dom.at/,0662 80476640,"info@salzburg.info,office@domquartier.at,andrea.feuerstein@eds.at,daniela.carollo@eds.at","{""instagram"":""https://www.instagram.com/domzusalzburg/"",""facebook"":""https://www.facebook.com/domquartier/"",""youtube"":""https://www.youtube.com/channel/ucfwzng_llavdc7jtn6rwssw""}",https://www.facebook.com/domquartier/,https://www.instagram.com/domzusalzburg/,
Awilda Sculpture,"Sigmund-Haffner-Gasse 13/11, 5020 Salzburg · 5020 Salzburg",https://www.bing.com/th?id=OLC.7ytGq5x0ylVl2A480x360&pid=Local,https://www.bing.com/maps?cp=47.798439025878906%7E13.04403018951416&lvl=17.0&q=Awilda%20Sculpture%20%2C%20Sigmund-Haffner-Gasse%2013%2F11%2C%205020%20Salzburg%20%C2%B7%205020%20Salzburg,47.798439025878906,13.04403018951416,https://www.salzburg.info/en/salzburg/creative-salzburg/art-in-public-room/walk-of-modern-art/awilda,,"tourist@salzburg.info,presse@salzburg.info,marketing@salzburg.info,digital-media@salzburg.info,privacy@salzburg.info","{""facebook"":""https://www.facebook.com/policy.php"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://instagram.com/about/legal/privacy/"",""twitter"":""https://twitter.com/de/privacy"",""pinterest"":""https://policy.pinterest.com/en/privacy-policy"",""yelp"":""https://www.yelp.com/biz/awilda-salzburg""}",https://www.facebook.com/policy.php,https://instagram.com/about/legal/privacy/,https://twitter.com/de/privacy
Makartsteg,Makartsteg / Ferdinand-Hanusch-Platz · 5020 Salzburg,https://www.bing.com/th?id=OLC.vwufmxHbWhgozA480x360&pid=Local,https://www.bing.com/maps?cp=47.80097961425781%7E13.042519569396973&lvl=17.0&q=Makartsteg%20%2C%20Makartsteg%20%2F%20Ferdinand-Hanusch-Platz%20%C2%B7%205020%20Salzburg,47.80097961425781,13.042519569396973,https://www.visit-salzburg.net/sightseeing.htm,,info@visit-salzburg.net,,,,
Fortress Hohensalzburg,Moenchsberg 34 · 5020 Salzburg,https://www.bing.com/th?id=OLC.G3XLou9eNNUhzA480x360&pid=Local,https://www.bing.com/maps?cp=47.7950325012207%7E13.047616004943848&lvl=17.0&q=Fortress%20Hohensalzburg%20%2C%20Moenchsberg%2034%20%C2%B7%205020%20Salzburg,47.7950325012207,13.047616004943848,https://www.salzburg-burgen.at/de/festung-hohensalzburg/,0662 84243011,,"{""facebook"":""https://www.facebook.com/festung.hohensalzburg/""}",https://www.facebook.com/festung.hohensalzburg/,,
Pieta,"Kapitelplatz, Salzburg Cathedral · 5020 Salzburg",https://www.bing.com/th?id=OLC.jqhlDyqLOFWVow480x360&pid=Local,https://www.bing.com/maps?cp=47.79740905761719%7E13.045967102050781&lvl=17.0&q=Pieta%20%2C%20Kapitelplatz%2C%20Salzburg%20Cathedral%20%C2%B7%205020%20Salzburg,47.79740905761719,13.045967102050781,https://www.salzburg.info/de/reiseinfos/salzburg-a-z/pieta-von-anna-chromy_az_451757,,tourist@salzburg.info,"{""facebook"":""https://www.facebook.com/salzburg"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://www.instagram.com/visitsalzburg/""}",https://www.facebook.com/salzburg,https://www.instagram.com/visitsalzburg/,
